sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.WE.A8K1.06A	0.44	0.364	0.0964	2	2.13	2.06	0.226	0.139	0	0.00924
TCGA.WE.A8K4.01A	0.47	0.443	0.44	4	3.65	3.84	0.0966	0.347	0	0
TCGA.WE.A8K5.06A	0.82	0.301	0.0958	2	2.08	2.06	0.191	0.11	0.00722	0
TCGA.WE.A8K6.06A	0.86	0.52	0.148	4	3.71	3.75	0.144	0.376	0	0
TCGA.WE.A8ZM.06A	0.89	0.694	0.239	4	3.98	3.98	0.355	0.34	0	0
TCGA.WE.A8ZN.06A	0.48	0.421	0.106	2	2.03	2.01	0.194	0.227	0.0117	0.0214
TCGA.WE.A8ZO.06A	0.83	0.344	0.0846	2	1.95	1.96	0.0735	0.27	0.00855	0.00513
TCGA.WE.A8ZQ.06A	0.98	0.46	0.283	4	4.11	4.11	0.25	0.21	0	0.0708
TCGA.WE.A8ZT.06A	0.87	0.121	0.183	2	1.99	1.99	0.0493	0.0714	0.0136	0
TCGA.WE.A8ZX.06A	0.78	0.514	0.29	2	1.62	1.7	0.081	0.433	0.149	0
TCGA.WE.A8ZY.06A	0.92	0.565	0.35	4	3.36	3.41	0.0748	0.49	0	0
TCGA.WE.AA9Y.06A	0.22	0.305	0.301	2	1.86	1.97	0.092	0.213	0.0665	0
TCGA.WE.AAA0.06A	0.61	0.45	0.0821	2	1.95	1.97	0.0805	0.369	0.00839	0.0134
TCGA.WE.AAA3.06A	0.66	0.709	0.401	4	3.3	3.53	0.152	0.557	0	0
TCGA.WE.AAA4.06A	0.24	0.158	0.207	2	1.96	1.99	0.0474	0.111	0.0164	0
TCGA.XV.A9VZ.01A	0.16	0.135	0.343	2	1.99	2	0.0677	0.0677	0.0116	0.00774
TCGA.XV.A9W2.01A	0.53	0.505	0.422	4	3.98	3.99	0.258	0.247	0	0
TCGA.XV.A9W5.01A	0.65	0.539	0.191	2	1.96	1.97	0.189	0.349	0.0533	0
TCGA.XV.AAZV.01A	0.25	0.0858	0.377	2	2.12	2.03	0.0243	0.0615	0.00809	0
TCGA.XV.AAZW.01A	0.83	0.301	0.147	2	1.86	1.88	0.0753	0.226	0.0444	0
TCGA.XV.AAZY.01A	0.54	0.129	0.564	4	3.83	3.91	0.0133	0.116	0	0
TCGA.XV.AB01.01A	0.91	0.55	0.142	2	2.12	2.11	0.271	0.279	0	0.0335
TCGA.YD.A89C.06A	0.76	0.45	0.107	2	2.3	2.23	0.324	0.126	0.0037	0.0241
TCGA.YD.A9TA.06A	0.81	0.694	0.207	4	3.67	3.73	0.181	0.512	0	0
TCGA.YD.A9TB.06A	0.7	0.436	0.215	2	2.21	2.15	0.195	0.241	0	0
TCGA.YG.AA3N.01A	0.64	0.185	0.116	2	1.99	1.99	0.0758	0.109	0.00165	0
TCGA.YG.AA3O.06A	0.8	0.613	0.252	4	3.92	3.93	0.145	0.468	0	0
TCGA.YG.AA3P.06A	0.97	0.543	0.353	4	4.08	4.08	0.254	0.29	0	0.0144
TCGA.Z2.A8RT.06A	0.86	0.303	0.44	4	3.63	3.68	0.0526	0.25	0	0
TCGA.Z2.AA3S.06A	0.92	0.372	0.299	2	1.83	1.84	0.0862	0.285	0.0977	0
TCGA.Z2.AA3V.06A	0.22	0.115	0.0429	2	1.79	1.95	0.00655	0.108	0.00327	0
