sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.AR.A0U2.01A	0.7	0.686	0.0569	2	1.87	1.91	0.21	0.476	0.00163	0.0195
TCGA.AR.A0U3.01A	0.82	0.412	0.181	2	1.72	1.77	0.0588	0.353	0.0668	0
TCGA.AR.A0U4.01A	0.3	0.651	0.365	2	2.57	2.17	0.431	0.22	0.012	0.0878
TCGA.AR.A1AH.01A	0.86	0.533	0.408	2	1.64	1.69	0.0564	0.477	0.198	0
TCGA.AR.A1AI.01A	0.36	0.218	0.265	2	2.11	2.04	0.126	0.092	0	0
TCGA.AR.A1AJ.01A	0.19	0.145	0.313	2	1.96	1.99	0.0279	0.117	0.0157	0.0139
TCGA.AR.A1AK.01A	0.22	0.513	0.405	2	2.47	2.1	0.305	0.208	0.0416	0
TCGA.AR.A1AL.01A	0.19	0.19	0.442	2	2.16	2.03	0.115	0.0751	0.0165	0.00733
TCGA.AR.A1AM.01A	0.26	0.0482	0.5	2	2.02	2.01	0.0145	0.0338	0.00965	0
TCGA.AR.A1AN.01A	0.46	0.502	0.108	2	1.96	1.98	0.23	0.272	0.0251	0.00193
TCGA.AR.A1AO.01A	0.9	0.048	0	2	2	2	0.0207	0.0273	0	0
TCGA.AR.A1AP.01A	0.61	0.517	0.158	2	1.84	1.91	0.174	0.343	0.0315	0.0426
TCGA.AR.A1AQ.01A	0.26	0.225	0.309	2	2.06	2.02	0.0592	0.166	0.0503	0
TCGA.AR.A1AR.01A	0.43	0.0951	0.581	2	2.17	2.08	0.0798	0.0153	0	0
TCGA.AR.A1AS.01A	0.82	0.254	0.294	2	2.11	2.09	0.121	0.133	0	0.027
TCGA.AR.A1AU.01A	0.44	0.336	0.5	2	1.96	1.98	0.0925	0.243	0.0509	0.0811
TCGA.AR.A1AV.01A	0.71	0.508	0.0741	2	2.1	2.07	0.256	0.252	0	0
TCGA.AR.A1AW.01A	0.18	0.573	0.432	2	2.23	2.04	0.257	0.316	0.0799	0.0409
TCGA.AR.A1AX.01A	0.17	0.193	0.573	2	2.09	2.02	0.0793	0.114	0.0496	0.0149
TCGA.AR.A1AY.01A	0.72	0.607	0.35	2	1.68	1.77	0.125	0.482	0.194	0
TCGA.AR.A24H.01A	0.87	0.459	0.314	4	3.74	3.77	0.117	0.342	0	0
TCGA.AR.A24K.01A	0.86	0.553	0.409	4	3.88	3.9	0.161	0.393	0	0
TCGA.AR.A24M.01A	0.24	0.28	0.39	2	2.23	2.05	0.12	0.16	0.021	0
TCGA.AR.A24N.01A	0.76	0.32	0.219	2	2.1	2.08	0.167	0.154	0.0114	0
TCGA.AR.A24O.01A	0.16	0.297	0.456	2	1.91	1.99	0.135	0.161	0.0725	0.0233
TCGA.AR.A24P.01A	0.62	0.381	0.0946	2	1.94	1.96	0.0962	0.285	0.00172	0
TCGA.AR.A24Q.01A	0.69	0.602	0.563	4	3.59	3.71	0.151	0.451	0	0
TCGA.AR.A24R.01A	0.74	0.34	0.0748	2	2.01	2.01	0.124	0.216	0.00317	0.0111
TCGA.AR.A24S.01A	0.71	0.311	0.147	2	1.91	1.94	0.0589	0.252	0	0
TCGA.AR.A24V.01A	0.56	0.645	0.0807	2	2.09	2.05	0.289	0.356	0	0
TCGA.AR.A24W.01A	0.2	0.369	0.252	2	1.84	1.97	0.0721	0.296	0.0625	0.00801
TCGA.AR.A24X.01A	0.98	0.203	0.183	4	4.08	4.08	0.121	0.0818	0	0
TCGA.AR.A24Z.01A	0.88	0.548	0.0643	2	1.85	1.86	0.103	0.446	0.0208	0
TCGA.AR.A250.01A	0.69	0.557	0.247	4	3.77	3.84	0.143	0.413	0	0
TCGA.AR.A251.01A	0.82	0.628	0.106	2	1.59	1.66	0.0629	0.565	0.055	0.00262
TCGA.AR.A252.01A	0.12	0.499	0.653	2	2.07	2.01	0.263	0.236	0.243	0.0333
TCGA.AR.A254.01A	0.54	0.462	0.155	2	2.28	2.15	0.364	0.0981	0	0
TCGA.AR.A255.01A	0.89	0.24	0.485	4	4.24	4.21	0.171	0.069	0	0
TCGA.AR.A256.01A	0.83	0.648	0.154	2	1.72	1.77	0.118	0.53	0.0598	0.0216
TCGA.AR.A2LE.01A	0.71	0.456	0.0119	2	1.99	1.99	0.211	0.245	0.0018	0
TCGA.AR.A2LH.01A	0.74	0.486	0	2	2.01	2	0.251	0.235	0	0
TCGA.AR.A2LJ.01A	0.99	0.0217	0	2	2.01	2.01	0.00903	0.0126	0	0
TCGA.AR.A2LK.01A	0.73	0.718	0.0942	2	2.13	2.09	0.346	0.372	0.00188	0.0338
TCGA.AR.A2LL.01A	0.78	0.313	0.254	2	2.01	2.01	0.101	0.212	0.0248	0
TCGA.AR.A2LM.01A	0.53	0.465	0.0342	2	2.07	2.04	0.211	0.254	0.00994	0
TCGA.AR.A2LN.01A	0.24	0.201	0.11	2	2.1	2.02	0.116	0.085	0.00739	0
TCGA.AR.A2LO.01A	0.21	0.2	0.227	2	1.98	2	0.0875	0.113	0.0152	0.00168
TCGA.AR.A2LQ.01A	0.96	0.124	0	2	2	2	0.061	0.0628	0	0
TCGA.AR.A2LR.01A	0.78	0.621	0.11	2	1.75	1.81	0.122	0.498	0.0402	0
TCGA.AR.A5QM.01A	0.19	0.294	0.5	2	2.58	2.11	0.224	0.0702	0.0167	0.0201
TCGA.AR.A5QN.01A	0.53	0.493	0.121	2	2.12	2.06	0.405	0.0886	0	0
TCGA.AR.A5QP.01A	0.16	0.403	0.518	2	2.19	2.03	0.14	0.263	0.0881	0.0324
TCGA.AR.A5QQ.01A	0.14	0.542	0.527	2	2.05	2.01	0.338	0.204	0.182	0.0181
TCGA.B6.A0I1.01A	0.77	0.64	0.152	2	1.94	1.95	0.163	0.477	0.0622	0.0202
TCGA.B6.A0I2.01A	0.48	0.638	0.609	2	2.76	2.37	0.393	0.244	0	0.0503
TCGA.B6.A0I5.01A	0.65	0.31	0.215	2	2.13	2.09	0.13	0.18	0	0
TCGA.B6.A0I6.01A	0.69	0.717	0.0818	2	1.68	1.78	0.191	0.526	0.00335	0.0536
TCGA.B6.A0I8.01A	0.75	0.558	0.348	4	3.94	3.95	0.196	0.362	0	0
TCGA.B6.A0I9.01A	0.68	0.859	0.688	4	3.8	3.86	0.184	0.675	0.00196	0
TCGA.B6.A0IA.01A	0.94	0.268	0.355	2	2.12	2.11	0.168	0.1	0.00806	0
TCGA.B6.A0IB.01A	0.75	0.752	0.257	4	3.59	3.69	0.181	0.571	0	0
TCGA.B6.A0IC.01A	0.96	0.0705	0	2	2	2	0.0393	0.0311	0	0
TCGA.B6.A0IE.01A	0.54	0.469	0.207	2	2.13	2.07	0.237	0.232	0.0503	0.0269
TCGA.B6.A0IG.01A	0.7	0.365	0.113	2	1.72	1.81	0.0543	0.311	0.0318	0.00562
TCGA.B6.A0IH.01A	0.76	0.311	0.0866	2	2	2	0.093	0.217	0	0
TCGA.B6.A0IJ.01A	0.51	0.76	0.416	4	3.67	3.83	0.215	0.545	0	0
TCGA.B6.A0IK.01A	0.53	0.46	0.684	4	3.43	3.7	0.0345	0.425	0	0
TCGA.B6.A0IM.01A	0.85	0.473	0.273	4	4.11	4.09	0.262	0.211	0	0
TCGA.B6.A0IN.01A	0.66	0.262	0.0839	2	2.01	2	0.0728	0.19	0	0.00508
TCGA.B6.A0IO.01A	0.81	0.602	0.372	4	3.33	3.46	0.026	0.576	0	0
TCGA.B6.A0IP.01A	0.58	0.122	0.468	2	2.01	2	0.0629	0.0589	0.0157	0
TCGA.B6.A0IQ.01A	0.66	0.606	0.313	4	3.74	3.83	0.133	0.473	0	0
TCGA.B6.A0RE.01A	0.76	0.607	0.382	4	3.72	3.79	0.155	0.452	0	0
TCGA.B6.A0RG.01A	0.94	0.38	0.256	4	4.03	4.03	0.199	0.181	0	0.0039
TCGA.B6.A0RH.01A	0.61	0.557	0.0613	2	1.95	1.97	0.195	0.362	0.00342	0
TCGA.B6.A0RI.01A	0.76	0.257	0.0284	2	2.01	2.01	0.108	0.15	0	0
TCGA.B6.A0RL.01A	0.82	0.602	0.0612	2	1.87	1.89	0.252	0.35	0.0331	0
TCGA.B6.A0RM.01A	0.91	0.111	0.159	2	2.11	2.1	0.0629	0.0484	0.0161	0
TCGA.B6.A0RN.01A	0.83	0.2	0.0693	2	2.04	2.03	0.101	0.0988	0.00791	0
TCGA.B6.A0RO.01A	0.64	0.417	0.419	4	3.6	3.74	0.0514	0.365	0	0
TCGA.B6.A0RP.01A	0.74	0.193	0.402	4	4.1	4.07	0.0995	0.094	0	0
TCGA.B6.A0RQ.01A	0.63	0.231	0.00526	2	1.99	1.99	0.0522	0.179	0	0.00122
TCGA.B6.A0RS.01A	0.68	0.593	0.489	4	3.7	3.8	0.198	0.395	0	0
TCGA.B6.A0RT.01A	0.12	0.255	0.712	2	2	2	0.0835	0.171	0.0672	0.0754
TCGA.B6.A0RU.01A	0.47	0.697	0.165	2	1.62	1.82	0.139	0.557	0.0369	0.0512
TCGA.B6.A0RV.01A	0.42	0.475	0.0824	2	2	2	0.223	0.252	0	0.0239
TCGA.B6.A0WS.01A	0.54	0.219	0.608	4	3.82	3.9	0.0399	0.179	0	0
TCGA.B6.A0WT.01A	0.69	0.186	0.243	2	1.94	1.96	0.0348	0.152	0.0226	0.0157
TCGA.B6.A0WV.01A	0.78	0.48	0.14	4	3.64	3.72	0.106	0.374	0	0
TCGA.B6.A0WX.01A	0.33	0.219	0.456	2	2.41	2.13	0.132	0.087	0.0104	0
TCGA.B6.A0WY.01A	0.18	0.258	0.483	2	1.99	2	0.0646	0.194	0.0766	0.00601
TCGA.B6.A0WZ.01A	0.63	0.357	0.113	2	2.18	2.11	0.259	0.0979	0.0105	0.00175
TCGA.B6.A0X0.01A	0.62	0.446	0.0846	2	2.03	2.02	0.136	0.31	0	0
TCGA.B6.A0X1.01A	0.79	0.747	0.168	2	1.55	1.64	0.0657	0.681	0.1	0.0239
TCGA.B6.A0X4.01A	0.52	0.0716	0.122	2	2.01	2.01	0.0249	0.0468	0	0.00292
TCGA.B6.A0X5.01A	0.96	0.14	0.135	2	1.98	1.98	0.0424	0.0973	0.0188	0
TCGA.B6.A0X7.01A	0.77	0.401	0.0292	2	2	2	0.174	0.227	0	0.00669
TCGA.B6.A1KC.01A	0.85	0.57	0.0781	2	1.78	1.81	0.114	0.457	0.0172	0.0244
TCGA.B6.A1KC.01B	0.95	0.559	0.392	4	3.74	3.75	0.147	0.412	0	0.00588
TCGA.B6.A1KF.01A	0.88	0.625	0.32	4	3.99	3.99	0.152	0.473	0	0.00916
TCGA.B6.A1KI.01A	0.82	0.0661	0	2	1.99	2	0.0154	0.0507	0	0
TCGA.B6.A1KN.01A	0.78	0.478	0.251	4	3.87	3.9	0.19	0.288	0	0
TCGA.B6.A2IU.01A	0.66	0.34	0.069	2	2.01	2.01	0.16	0.18	0.0156	0
TCGA.B6.A3ZX.01A	0.14	0.533	0.63	2	2.04	2.01	0.208	0.325	0.156	0.0934
TCGA.B6.A401.01A	0.37	0.314	0.29	2	2.2	2.07	0.249	0.0646	0	0.00922
TCGA.B6.A408.01A	0.74	0.285	0.133	2	1.9	1.93	0.0617	0.223	0.00475	0.0285
TCGA.B6.A409.01A	0.49	0.613	0.117	2	1.93	1.96	0.157	0.456	0.00512	0.0239
TCGA.B6.A40C.01A	0.73	0.209	0.29	2	1.98	1.98	0.0728	0.137	0.0228	0
TCGA.BH.A0AU.01A	0.49	0.545	0.666	4	3.16	3.59	0.0895	0.455	0	0
TCGA.BH.A0AV.01A	0.3	0.315	0.345	2	2.77	2.23	0.29	0.0251	0.00697	0
TCGA.BH.A0AW.01A	0.57	0.7	0.605	4	3.87	3.93	0.196	0.504	0	0
TCGA.BH.A0AY.01A	0.55	0.528	0.603	4	4.04	4.02	0.142	0.386	0	0
TCGA.BH.A0AZ.01A	0.27	0.464	0.138	2	1.92	1.98	0.188	0.276	0.027	0
TCGA.BH.A0B0.01A	0.5	0.376	0.155	2	1.79	1.89	0.11	0.267	0.0477	0
