sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.78.7537.01A	0.78	0.139	0.585	4	4.09	4.07	0.0832	0.056	0	0
TCGA.78.7539.01A	0.68	0.683	0.599	4	3.81	3.87	0.194	0.489	0	0
TCGA.78.7540.01A	0.59	0.302	0.123	2	1.95	1.97	0.071	0.231	0.0129	0.0242
TCGA.78.7542.01A	0.59	0.278	0.133	2	2	2	0.0963	0.181	0	0.0225
TCGA.78.7633.01A	0.74	0.414	0.0777	2	2.18	2.13	0.285	0.129	0.0321	0
TCGA.78.8648.01A	0.99	0.115	0	2	2	2	0.0374	0.078	0	0
TCGA.78.8655.01A	0.66	0.379	0.191	2	1.95	1.97	0.132	0.247	0.0204	0.0316
TCGA.78.8660.01A	0.19	0.327	0.332	2	1.94	1.99	0.132	0.196	0.0674	0.0214
TCGA.78.8662.01A	0.83	0.719	0.402	4	3.25	3.38	0.098	0.621	0	0
TCGA.80.5607.01A	0.18	0.243	0.371	2	2.02	2	0.132	0.111	0.0278	0.0139
TCGA.80.5608.01A	0.6	0.537	0.0328	2	1.89	1.94	0.118	0.419	0	0.00352
TCGA.80.5611.01A	0.72	0.406	0.141	2	2.09	2.07	0.239	0.167	0	0.0161
TCGA.83.5908.01A	0.18	0.434	0.342	2	2.23	2.04	0.294	0.141	0.0372	0.0137
TCGA.86.6562.01A	0.54	0.703	0.197	2	2.2	2.11	0.373	0.331	0	0.0285
TCGA.86.6851.01A	0.43	0.571	0.457	4	3.76	3.9	0.139	0.432	0	0
TCGA.86.7701.01A	0.51	0.294	0.151	2	2.05	2.03	0.159	0.135	0	0.0111
TCGA.86.7711.01A	0.18	0.172	0.525	2	2.21	2.04	0.0789	0.0933	0.0115	0.0187
TCGA.86.7713.01A	0.77	0.386	0.0972	2	1.96	1.97	0.112	0.273	0.00893	0.00179
TCGA.86.7714.01A	0.64	0.231	0	2	1.93	1.95	0.104	0.127	0	0
TCGA.86.7953.01A	0.44	0.459	0.111	2	1.79	1.91	0.0624	0.397	0.0246	0
TCGA.86.7954.01A	0.44	0.426	0.621	4	4.24	4.1	0.263	0.164	0	0
TCGA.86.7955.01A	0.83	0.657	0.356	4	3.57	3.64	0.158	0.499	0	0
TCGA.86.8054.01A	0.8	0.551	0.227	4	3.78	3.83	0.154	0.397	0	0
TCGA.86.8055.01A	0.75	0.206	0.107	2	2.04	2.03	0.09	0.117	0	0
TCGA.86.8056.01A	0.6	0.174	0.0495	2	1.92	1.95	0.0327	0.141	0	0
TCGA.86.8073.01A	0.24	0.367	0.258	2	2.08	2.02	0.225	0.142	0.0338	0
TCGA.86.8074.01A	0.68	0.768	0.363	4	3.86	3.9	0.299	0.469	0	0
TCGA.86.8075.01A	0.47	0.397	0.541	4	3.97	3.98	0.141	0.256	0	0
TCGA.86.8076.01A	0.87	0.264	0	2	2	2	0.0849	0.179	0	0
TCGA.86.8278.01A	0.52	0.182	0.143	2	1.89	1.94	0.013	0.169	0.0223	0.00371
TCGA.86.8279.01A	0.78	0.878	0.283	4	3.05	3.26	0.166	0.712	0	0
TCGA.86.8280.01A	0.42	0.552	0.364	2	2.05	2.02	0.253	0.299	0.00386	0.0656
TCGA.86.8281.01A	0.68	0.135	0.0933	2	2.08	2.05	0.0937	0.0414	0	0
TCGA.86.8359.01A	0.5	0.603	0.29	2	2.19	2.1	0.345	0.258	0.0017	0.0951
TCGA.86.8585.01A	0.18	0.38	0.475	2	2.21	2.04	0.156	0.224	0.0564	0.0596
TCGA.86.8668.01A	0.88	0.465	0.0811	2	2.01	2.01	0.228	0.237	0	0
TCGA.86.8669.01A	0.75	0.38	0.172	2	1.96	1.97	0.0769	0.303	0.0131	0.0174
TCGA.86.8671.01A	0.12	0.347	0.76	2	2.04	2	0.204	0.143	0.152	0.0523
TCGA.86.8673.01A	0.71	0.17	0.449	2	2.15	2.11	0.127	0.0432	0	0
TCGA.86.8674.01A	0.22	0.153	0.351	2	2.1	2.02	0.07	0.0831	0.00651	0
TCGA.86.A456.01A	0.17	0.443	0.242	2	1.94	1.99	0.194	0.249	0.0519	0.0138
TCGA.86.A4D0.01A	0.74	0.481	0.081	2	2.08	2.06	0.195	0.286	0.00449	0.0135
TCGA.86.A4JF.01A	0.18	0.441	0.443	2	2.09	2.02	0.192	0.25	0.114	0.013
TCGA.86.A4P7.01A	0.11	0.569	0.735	2	2.03	2	0.262	0.307	0.275	0.0632
TCGA.86.A4P8.01A	0.99	0.24	0	2	2	2	0.101	0.139	0	0
TCGA.91.6828.01A	0.61	0.34	0.137	2	2.12	2.07	0.157	0.184	0	0.0166
TCGA.91.6829.01A	0.69	0.27	0.223	2	2.15	2.1	0.186	0.0841	0	0.0276
TCGA.91.6830.01A	0.23	0.515	0.166	2	1.83	1.96	0.235	0.28	0.0583	0
TCGA.91.6831.01A	0.65	0.63	0.266	4	3.67	3.79	0.186	0.444	0	0
TCGA.91.6835.01A	0.2	0.459	0.295	2	1.89	1.98	0.114	0.345	0.0305	0.04
TCGA.91.6836.01A	0.81	0.492	0.109	2	1.8	1.84	0.0596	0.432	0.0298	0.00298
TCGA.91.6840.01A	0.69	0.73	0.27	4	3.92	3.95	0.301	0.429	0	0
TCGA.91.6847.01A	0.9	0.792	0.291	4	3.93	3.94	0.346	0.446	0	0.0113
TCGA.91.6848.01A	0.42	0.849	0.627	4	3.91	3.96	0.341	0.508	0.00204	0
TCGA.91.6849.01A	0.59	0.4	0.0583	2	1.89	1.94	0.113	0.287	0.0133	0
TCGA.91.7771.01A	0.5	0.372	0.0985	2	2.08	2.04	0.187	0.185	0.00183	0.00367
TCGA.91.8496.01A	0.58	0.27	0.135	2	2.08	2.05	0.103	0.167	0	0
TCGA.91.8497.01A	0.19	0.226	0.289	2	1.98	2	0.113	0.113	0.0297	0.00445
TCGA.91.8499.01A	0.83	0.691	0.106	2	1.67	1.72	0.0872	0.604	0.0285	0.0174
TCGA.91.A4BC.01A	0.18	0.546	0.456	2	2.11	2.02	0.232	0.314	0.0688	0.0576
TCGA.93.7347.01A	0.18	0.273	0.338	2	2.04	2.01	0.122	0.15	0.0425	0.023
TCGA.93.7348.01A	0.2	0.362	0.417	2	2.06	2.01	0.215	0.147	0.0446	0.0562
TCGA.93.8067.01A	0.5	0.567	0.507	4	3.69	3.84	0.165	0.402	0	0
TCGA.93.A4JN.01A	0.44	0.221	0.13	2	2.03	2.01	0.0808	0.14	0	0
TCGA.93.A4JO.01A	0.18	0.313	0.443	2	1.83	1.97	0.0694	0.244	0.0769	0.045
TCGA.93.A4JP.01A	0.18	0.239	0.271	2	1.98	2	0.0649	0.174	0.0223	0.0101
TCGA.93.A4JQ.01A	0.17	0.124	0.5	2	1.99	2	0.0383	0.0856	0.0164	0.0346
TCGA.95.7039.01A	0.52	0.67	0.133	2	2.22	2.12	0.387	0.283	0	0.0138
TCGA.95.7043.01A	0.89	0.641	0.0869	2	1.76	1.78	0.127	0.514	0.0214	0.0157
TCGA.95.7562.01A	0.72	0.75	0.366	4	3.55	3.68	0.157	0.593	0	0
TCGA.95.7567.01A	0.54	0.613	0.238	2	2.24	2.13	0.385	0.228	0.0156	0.0156
TCGA.95.7944.01A	0.25	0.17	0.392	2	2.04	2.01	0.0614	0.109	0.0175	0.0193
TCGA.95.7947.01A	0.65	0.363	0.138	2	1.86	1.91	0.0933	0.27	0.0117	0.015
TCGA.95.7948.01A	0.82	0.593	0.278	4	3.71	3.76	0.248	0.345	0	0
TCGA.95.8494.01A	0.72	0.464	0.38	4	3.71	3.79	0.103	0.361	0	0
TCGA.95.A4VK.01A	0.99	0.378	0	2	1.94	1.94	0.0262	0.352	0	0
TCGA.95.A4VN.01A	0.16	0.416	0.555	2	2.09	2.02	0.192	0.223	0.0672	0.114
