sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.AG.3898.01A	0.78	0.159	0.0431	2	1.99	1.99	0.0343	0.125	0	0
TCGA.AG.3901.01A	0.36	0.112	0	2	1.95	1.98	0.0242	0.0875	0	0
TCGA.AG.3902.01A	0.55	0.189	0.64	4	3.98	3.99	0.0495	0.14	0	0
TCGA.AG.3999.01A	0.78	0.82	0.349	4	3.41	3.54	0.143	0.676	0	0
TCGA.AG.4001.01A	0.62	0.476	0.522	4	3.97	3.98	0.136	0.339	0	0
TCGA.AG.4005.01A	0.76	0.599	0.0755	2	1.97	1.98	0.136	0.464	0.00323	0.0291
TCGA.AG.4007.01A	0.77	0.322	0.262	4	4.13	4.1	0.151	0.17	0	0
TCGA.AG.4008.01A	0.64	0.286	0.223	2	1.96	1.98	0.0858	0.201	0.0182	0.0128
TCGA.AG.4015.01A	0.83	0.571	0.0897	2	2.18	2.15	0.341	0.231	0.00366	0.00183
TCGA.AG.4021.01A	0.82	0.307	0.228	2	1.85	1.87	0.0545	0.252	0.0324	0
TCGA.AG.4022.01A	0.64	0.694	0.368	2	2.34	2.22	0.389	0.305	0.0177	0.138
TCGA.AG.A01W.01A	0.7	0.794	0.503	4	3.48	3.64	0.162	0.631	0	0
TCGA.AG.A01Y.01A	0.82	0.478	0.239	2	1.96	1.96	0.173	0.305	0.0846	0.00591
TCGA.AG.A020.01A	0.93	0.223	0.159	2	1.98	1.98	0.0903	0.132	0.0161	0.00484
TCGA.AG.A02N.01A	0.83	0.558	0.0209	2	2.08	2.07	0.319	0.239	0.00195	0.00389
TCGA.AH.6544.01A	0.57	0.151	0.0185	2	2.01	2.01	0.098	0.0532	0	0.0028
TCGA.AH.6547.01A	0.73	0.379	0	2	2.01	2	0.185	0.194	0	0
TCGA.AH.6643.01A	0.78	0.589	0.074	2	1.86	1.89	0.153	0.436	0.00348	0.0157
TCGA.AH.6644.01A	0.73	0.413	0.239	4	3.99	3.99	0.153	0.259	0	0
TCGA.AH.6897.01A	0.89	0.288	0.0893	2	2	2	0.0788	0.209	0.0103	0.00342
TCGA.AH.6903.01A	0.09	0.182	0.848	2	1.98	2	0.0884	0.0936	0.111	0.0208
TCGA.BM.6198.01A	0.57	0.5	0.2	2	1.61	1.78	0.0442	0.456	0.0365	0.0519
TCGA.CI.6619.01B	0.47	0.485	0.371	4	4.02	4.01	0.156	0.328	0	0
TCGA.CI.6620.01A	0.6	0.356	0.492	4	3.67	3.8	0.0597	0.297	0	0
TCGA.CI.6621.01A	0.65	0.458	0.0643	2	1.95	1.97	0.111	0.346	0.00163	0.0114
TCGA.CI.6622.01A	0.71	0.171	0.415	2	2.06	2.04	0.0765	0.0946	0	0.00556
TCGA.CI.6623.01B	0.68	0.627	0.434	4	3.86	3.9	0.187	0.44	0	0
TCGA.CI.6624.01C	0.36	0.651	0.203	2	2.26	2.09	0.435	0.216	0	0.0056
